dem_req_rate,req_rate_ruby-sinatr.herokuapp.com,con_rate_ruby-sinatr.herokuapp.com,min_rep_rate_ruby-sinatr.herokuapp.com,avg_rep_rate_ruby-sinatr.herokuapp.com,max_rep_rate_ruby-sinatr.herokuapp.com,stddev_rep_rate_ruby-sinatr.herokuapp.com,resp_time_ruby-sinatr.herokuapp.com,net_io_ruby-sinatr.herokuapp.com,errors_ruby-sinatr.herokuapp.com
5000,4114.7,165.5,0,4090.57929975389,9288.56664878386,2443.3,208.1,1889.3,1.01666666666667
7500,7333.9,293.4,2435.2,7371,9759.1,1201.0,40.5,2170.1,0.0111111111111111
10000,6983.6,279.5,53.948304502425,7042.85124852399,9723.78226949172,2558.3,282.3,2070.0,0.125
12500,,,,,,,,,101
15000,9558.0,385.7,0,7287.75307825712,15343.4109016138,5076.4,418.4,2576.7,1.75555555555556
17500,,,,,,,,,101
20000,,,,,,,,,101
22500,,,,,,,,,101
25000,6238.8,488.3,0,5459.76671831465,8618.09221821643,3736.6,676.2,2015.7,72.8633333333333
27500,,,,,,,,,101
30000,,,,,,,,,101
32500,,,,,,,,,101
35000,,,,,,,,,101
37500,,,,,,,,,101
40000,,,,,,,,,101
42500,,,,,,,,,101
45000,,,,,,,,,101
47500,,,,,,,,,101
50000,,,,,,,,,101
52500,,,,,,,,,101
55000,,,,,,,,,101
57500,,,,,,,,,101
60000,,,,,,,,,101
