dem_req_rate,req_rate_java-jetty.herokuapp.com,con_rate_java-jetty.herokuapp.com,min_rep_rate_java-jetty.herokuapp.com,avg_rep_rate_java-jetty.herokuapp.com,max_rep_rate_java-jetty.herokuapp.com,stddev_rep_rate_java-jetty.herokuapp.com,resp_time_java-jetty.herokuapp.com,net_io_java-jetty.herokuapp.com,errors_java-jetty.herokuapp.com
3500,3465.4,138.6,561.2,3477.9,6148.6,783.0,28.9,1059.2,0.0476190476190476
5250,5171.2,206.9,3265.57926326685,5209.76691749376,6660.55770483684,518.1,16.3,1580.7,0.0158730158730159
7000,5327.7,213.2,0,5378.6,10342.3,2996.8,92.7,1628.4,0.0952380952380952
8750,7630.4,305.3,120,7712.1,9785.4,2439.9,149.7,2332.3,0.0761904761904762
10500,,,,,,,,,101
12250,,,,,,,,,101
14000,,,,,,,,,101
15750,,,,,,,,,101
17500,,,,,,,,,101
19250,,,,,,,,,101
21000,,,,,,,,,101
22750,,,,,,,,,101
24500,,,,,,,,,101
26250,,,,,,,,,101
28000,,,,,,,,,101
29750,,,,,,,,,101
31500,,,,,,,,,101
33250,,,,,,,,,101
35000,,,,,,,,,101
36750,,,,,,,,,101
38500,,,,,,,,,101
40250,,,,,,,,,101
42000,,,,,,,,,101
